Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Alabama A & M University,90,57,118,16,94,1,9,29,11,73,7,0,505
University of Alabama at Birmingham,362,181,990,142,618,26,84,474,91,482,73,22,3545
University of Alabama in Huntsville,620,217,475,63,116,45,109,43,23,130,89,27,1957
Alabama State University,5,48,91,13,66,3,3,60,29,43,29,0,390
The University of Alabama,993,115,2783,800,267,122,131,412,809,685,212,78,7407
Auburn University at Montgomery,0,111,211,30,43,5,10,113,13,89,27,3,655
Auburn University,1448,270,1877,209,704,59,90,570,308,337,218,38,6128
Birmingham-Southern College,1,11,66,23,25,10,3,8,13,51,22,4,237
Faulkner University,0,13,463,4,4,1,0,18,0,49,4,0,556
Herzing University-Birmingham,0,1,19,0,0,0,0,0,0,0,0,0,20
Huntingdon College,0,0,82,6,21,3,2,3,5,27,4,0,153
Heritage Christian University,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville State University,57,48,233,29,91,10,13,360,46,221,87,1,1196
University of West Alabama,18,0,173,11,32,8,3,1279,60,46,0,0,1630
Miles College,0,9,53,9,19,1,2,1,12,5,12,0,123
University of Mobile,0,1,81,9,6,3,0,53,15,44,38,0,250
University of Montevallo,0,6,82,18,16,8,7,131,16,74,73,4,435
University of North Alabama,20,35,579,70,48,9,25,282,44,122,95,15,1344
Oakwood University,0,2,39,5,50,6,1,4,12,43,4,4,170
Samford University,0,10,286,27,29,5,4,82,58,86,56,17,660
Selma University,0,0,2,0,0,0,0,0,0,0,0,0,2
University of South Alabama,182,126,304,46,158,21,25,400,57,181,64,32,1596
Spring Hill College,0,0,135,25,20,6,1,13,13,54,15,0,282
Stillman College,0,0,28,0,10,4,0,24,1,25,2,0,94
Talladega College,0,15,53,16,12,1,3,1,8,29,3,0,141
Troy University,7,154,802,232,86,11,8,357,170,701,68,8,2604
Tuskegee University,78,21,44,13,46,3,7,8,7,25,2,0,254
United States Sports Academy,0,0,0,0,0,0,0,9,0,0,0,0,9
University of Alaska Anchorage,119,57,314,41,59,7,12,37,10,377,43,20,1096
Alaska Bible College,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alaska Fairbanks,106,31,203,12,53,18,35,126,10,124,18,14,750
University of Alaska Southeast,1,0,79,10,11,1,0,130,0,37,2,5,276
Alaska Pacific University,0,0,44,0,0,0,0,2,0,34,0,0,80
Arizona State University Campus Immersion,2392,1226,5345,1088,1451,300,304,1156,849,1625,805,139,16680
University of Arizona,813,597,1716,638,854,170,376,547,346,1111,314,247,7729
Embry-Riddle Aeronautical University-Prescott,196,0,26,67,2,0,21,0,0,13,7,0,332
Dine College,4,1,28,16,11,6,0,32,0,21,3,0,122
Northern Arizona University,271,341,1474,449,516,42,143,1254,353,1058,204,54,6159
Prescott College,0,0,12,9,0,0,0,72,0,28,11,0,132
Arizona Christian University,0,0,45,15,11,0,0,23,4,26,5,0,129
University of Arkansas at Little Rock,102,120,288,50,60,12,45,153,63,339,64,45,1341
Arkansas Baptist College,0,0,11,0,0,0,0,0,0,10,2,0,23
Lyon College,0,12,48,22,23,9,4,7,0,37,11,2,175
University of Arkansas,1074,155,1809,352,222,46,160,634,372,389,198,60,5471
University of Arkansas at Pine Bluff,26,20,38,11,37,0,11,75,6,38,16,0,278
Arkansas State University,106,51,341,122,80,15,13,1868,274,993,130,5,3998
Arkansas Tech University,140,177,546,39,29,10,16,320,43,1238,40,12,2610
University of Arkansas at Monticello,62,0,160,3,9,3,4,166,4,137,24,1,573
University of Central Arkansas,6,84,444,114,97,27,32,369,62,302,144,20,1701
Central Baptist College,0,0,18,0,7,0,0,8,5,22,1,0,61
Crowley's Ridge College,0,0,5,0,0,0,0,9,0,9,0,0,23
Harding University,30,91,201,6,26,5,2,250,53,87,45,11,807
Henderson State University,10,22,114,16,22,9,10,326,14,115,26,3,687
Hendrix College,0,10,26,44,46,6,12,0,0,63,7,9,223
John Brown University,20,7,177,7,20,5,4,40,6,55,40,2,383
Ouachita Baptist University,9,6,64,14,32,4,7,48,30,78,30,6,328
University of the Ozarks,0,0,73,25,15,12,6,11,10,31,9,3,195
Philander Smith College,0,8,43,8,17,3,3,15,0,28,0,0,125
Williams Baptist University,0,0,12,0,6,0,0,23,0,23,0,0,64
Southern Arkansas University Main Campus,15,97,218,6,34,3,40,336,12,333,45,2,1141
University of Arkansas-Fort Smith,35,118,468,15,36,4,26,119,15,156,34,12,1038
Antelope Valley Community College District,66,115,289,491,70,38,49,9,44,1006,50,91,2318
Art Center College of Design,121,46,0,0,0,0,0,0,0,0,358,0,525
Azusa Pacific University,9,14,318,80,43,11,4,272,65,570,141,4,1531
Bakersfield College,150,49,282,243,326,54,38,20,369,5041,102,83,6757
Bethesda University,0,0,39,0,0,0,0,10,0,0,2,0,51
Biola University,15,15,173,34,63,7,2,118,60,245,129,2,863
California Baptist University,130,62,501,71,138,19,5,357,87,631,129,4,2134
California College of the Arts,0,38,23,0,0,0,0,0,0,8,264,0,333
California Institute of Technology,237,84,2,3,46,27,158,0,0,0,0,0,557
California Lutheran University,0,65,366,87,78,6,20,154,85,214,62,17,1154
California Polytechnic State University-San Luis Obispo,1414,200,979,272,225,117,103,171,135,458,76,9,4159
California State University-Bakersfield,87,54,440,182,150,42,26,334,100,775,46,31,2267
California State University-Stanislaus,0,75,492,295,85,26,37,192,61,919,49,33,2264
California State University-San Bernardino,33,255,845,400,113,95,52,212,166,1077,144,38,3430
California State Polytechnic University-Pomona,1339,250,1975,557,337,114,149,209,171,750,181,29,6061
California State University-Chico,361,164,647,422,140,37,22,138,181,787,241,26,3166
California State University-Dominguez Hills,41,206,641,370,100,32,14,471,188,901,159,20,3143
California State University-Fresno,339,65,728,693,203,52,67,482,196,1441,201,77,4544
California State University-Fullerton,604,419,2468,652,324,115,102,1029,835,1513,753,104,8918
California State University-East Bay,37,261,1168,294,227,82,38,300,155,681,153,10,3406
California State University-Long Beach,909,312,1954,759,462,180,126,262,479,1565,998,163,8169
California State University-Los Angeles,362,297,911,586,204,52,69,835,365,751,283,38,4753
California State University-Northridge,580,398,1937,849,338,79,89,704,979,1888,567,73,8481
California State University-Sacramento,570,337,1059,725,340,75,80,707,498,1190,264,38,5883
University of California-Berkeley,2451,1952,1102,1954,1149,640,547,149,311,1125,273,271,11924
University of California-Davis,1138,488,993,1505,1930,503,243,144,301,1572,437,244,9498
University of California-Irvine,1505,1090,1533,1622,952,484,350,577,26,1429,473,52,10093
University of California-Los Angeles,1405,509,927,2831,1734,883,390,338,245,2183,569,299,12313
University of California-Riverside,584,333,1086,1247,1155,260,200,314,0,1189,311,132,6811
University of California-San Diego,1717,1055,468,1260,1988,601,628,125,287,1108,263,82,9582
University of California-Santa Barbara,394,220,86,1894,761,686,431,183,601,1281,397,254,7188
University of California-Santa Cruz,242,815,287,725,752,157,275,128,7,742,471,219,4820
California Christian College,0,0,0,0,0,0,0,0,0,0,0,0,0
Haven University,0,0,3,0,0,0,0,0,0,3,0,0,6
California Institute of the Arts,0,14,0,0,0,0,0,0,6,8,236,0,264
California State University Maritime Academy,92,0,53,0,0,0,0,0,0,0,0,0,145
Casa Loma College-Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapman University,13,82,791,115,76,68,11,209,188,319,548,13,2433
Charles R Drew University of Medicine and Science,0,0,0,0,35,0,0,0,0,0,0,0,35
Concordia University-Irvine,0,3,203,2,30,0,7,412,19,157,33,0,866
San Diego Christian College,0,0,32,0,3,0,0,13,13,33,0,0,94
Claremont McKenna College,7,13,24,206,28,21,9,0,6,78,8,7,407
Columbia College Hollywood,0,0,0,0,0,0,0,0,5,0,158,0,163
Cypress College,226,166,310,112,14,26,18,0,59,1596,79,3,2609
Dharma Realm Buddhist University,0,0,0,0,0,0,0,0,0,10,0,4,14
Dominican University of California,0,77,139,8,55,0,8,20,10,69,12,0,398
Feather River Community College District,0,0,6,41,2,3,1,0,0,170,1,0,224
Foothill College,41,89,182,212,18,34,15,267,118,663,85,11,1735
Fresno Pacific University,5,0,156,22,12,1,2,345,9,85,6,7,650
Harvey Mudd College,51,49,0,3,23,18,30,0,2,0,1,3,180
Holy Names University,0,0,46,24,8,0,0,43,11,84,15,0,231
California State Polytechnic University-Humboldt,51,28,135,167,182,19,75,0,43,331,108,11,1150
Humphreys University-Stockton and Modesto Campuses,0,0,37,2,0,0,0,75,0,5,0,0,119
Life Pacific University,0,0,21,0,0,0,0,0,5,16,0,0,42
University of La Verne,0,35,797,113,57,3,9,567,33,239,22,1,1876
Laguna College of Art and Design,0,0,0,0,0,0,0,0,0,0,103,0,103
Latin American Bible Institute,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln University,8,26,202,53,31,1,9,79,42,86,6,3,546
Southern California Seminary,0,0,0,0,0,0,0,0,0,16,0,0,16
La Sierra University,0,14,106,7,19,3,0,60,5,45,17,1,277
Southern California University of Health Sciences,0,0,0,0,50,0,0,0,0,0,0,0,50
The Master's University and Seminary,0,3,104,17,20,5,1,7,23,24,9,0,213
Loyola Marymount University,131,61,539,254,82,22,12,383,158,355,345,25,2367
Marymount California University,0,0,78,0,13,0,0,0,9,99,2,0,201
Menlo College,0,0,149,0,0,0,0,0,0,30,0,0,179
MiraCosta College,42,187,586,63,33,1,0,38,87,2257,53,35,3382
Modesto Junior College,12,105,447,115,0,18,20,22,67,833,100,16,1755
Mount Saint Mary's University,0,0,72,33,14,2,1,43,2,232,35,8,442
National University,73,175,771,58,100,39,0,2026,54,1633,39,3,4971
San Francisco Bay University,0,14,5,0,0,0,0,0,0,0,0,0,19
Occidental College,0,36,0,169,60,11,22,0,0,98,56,33,485
Otis College of Art and Design,0,0,0,0,0,0,0,0,0,0,261,0,261
Hope International University,0,0,59,4,0,0,0,62,0,108,0,0,233
Pacific Oaks College,0,0,11,0,0,0,0,167,0,10,0,0,188
Pacific States University,0,4,16,0,0,0,0,0,0,0,0,0,20
Pacific Union College,1,0,12,1,8,1,2,3,4,7,17,6,62
University of the Pacific,110,73,155,40,170,10,7,95,42,107,33,13,855
Pepperdine University,0,0,1039,97,63,53,10,201,156,1025,58,5,2707
Pitzer College,0,10,23,64,10,21,6,1,18,64,10,6,233
Point Loma Nazarene University,8,48,312,19,68,3,11,196,50,122,31,3,871
Pomona College,0,50,0,97,53,31,21,0,18,48,36,19,373
Santa Ana College,122,194,677,75,12,38,30,138,419,2082,66,38,3891
University of Redlands,0,23,626,94,39,18,23,396,0,183,100,25,1527
Rio Hondo College,132,46,352,175,18,23,19,38,39,1797,68,29,2736
